batch_size,epoch,input_to_padding_ratio,learning_rate,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer
8.0,0,0.8754717111587524,9.791169759409968e-06,1781760.0,559.0,0.7940340638160706,84,0.2097371518611908,0.33676525950431824,0.50737464427948
8.0,0,0.6976562738418579,9.751064681040589e-06,1714560.0,476.0,0.7256097793579102,89,0.08373761177062988,0.8491741418838501,0.06545454263687134
8.0,0,0.5863466262817383,9.707540812087245e-06,1805760.0,488.0,0.5809524059295654,94,0.1742272526025772,0.7220569252967834,0.15172414481639862
2.0,0,0.9438502788543701,9.660631803853903e-06,338880.0,120.0,0.9090909361839294,99,0.08114030957221985,0.6449848413467407,0.20512820780277252
8.0,1,0.6308724880218506,9.610373126633931e-06,1443840.0,456.0,0.6705882549285889,104,0.2779013216495514,0.6487838625907898,0.17883211374282837
8.0,1,0.6575203537940979,9.556803888699505e-06,1863360.0,532.0,0.6273584961891174,109,0.20653173327445984,0.6680171489715576,0.2013888955116272
8.0,1,0.6715909242630005,9.499964107817505e-06,1702080.0,450.0,0.5859375,114,0.2658426761627197,0.749217689037323,0.1417004019021988
8.0,1,0.6040483117103577,9.439897439733613e-06,1632960.0,425.0,0.617732584476471,119,0.1861184686422348,0.674437403678894,0.16605165600776672
8.0,1,0.6200703978538513,9.376648449688219e-06,1690560.0,538.0,0.6862244606018066,124,0.23812109231948853,0.6839663982391357,0.17034700512886047
8.0,1,0.6598101258277893,9.310265340900514e-06,1601280.0,467.0,0.729687511920929,129,0.24750623106956482,0.64028400182724,0.2112676054239273
8.0,1,0.7739169597625732,9.2407990450738e-06,1646400.0,470.0,0.827464759349823,134,0.19128169119358063,0.687343955039978,0.15209124982357025
8.0,1,0.5188533067703247,9.16830322239548e-06,1928640.0,520.0,0.6565656661987305,139,0.313577264547348,0.6969413757324219,0.14915254712104797
8.0,1,0.6802486181259155,9.092830623558257e-06,1891200.0,523.0,0.7029569745063782,144,0.14546367526054382,0.6973467469215393,0.15625
8.0,1,0.6571618318557739,9.014440365717746e-06,1902720.0,513.0,0.6286764740943909,149,0.21628819406032562,0.7596524357795715,0.12585033476352692
8.0,1,0.6269592642784119,8.933191566029564e-06,1536000.0,458.0,0.6656976938247681,154,0.17006883025169373,0.7480522394180298,0.13405796885490417
8.0,1,0.5930315852165222,8.849146070133429e-06,1584960.0,445.0,0.6701807379722595,159,0.17386192083358765,0.6821979284286499,0.16785714030265808
8.0,1,0.7064873576164246,8.762366633163765e-06,1714560.0,512.0,0.6464646458625793,164,0.23966935276985168,0.7488981485366821,0.12538225948810577
8.0,1,0.5801005959510803,8.672920557728503e-06,1550400.0,433.0,0.5467171669006348,169,0.1633661985397339,0.803632915019989,0.08494208753108978
8.0,1,0.7180944085121155,8.580875146435574e-06,1577280.0,490.0,0.704023003578186,174,0.21881669759750366,0.7255138158798218,0.14098361134529114
8.0,1,0.6225212216377258,8.486299520882312e-06,1687680.0,510.0,0.498046875,179,0.18556064367294312,0.6794227957725525,0.18874172866344452
8.0,1,0.6979166865348816,8.389267350139562e-06,1672320.0,531.0,0.7542613744735718,184,0.13235366344451904,0.7668677568435669,0.1436619758605957
8.0,1,0.8130208253860474,8.289850484288763e-06,1498560.0,413.0,0.7481883764266968,189,0.19471268355846405,0.7999913692474365,0.10227272659540176
8.0,1,0.5869700908660889,8.188125320884865e-06,1807680.0,478.0,0.5690476298332214,194,0.15973874926567078,0.7554863095283508,0.12709030508995056
2.0,1,0.8235294222831726,8.084169166977517e-06,295680.0,91.0,0.8425925970077515,199,0.1714460551738739,0.7717368006706238,0.08974359184503555
8.0,2,0.5259279608726501,7.978061148605775e-06,1849920.0,543.0,0.70703125,204,0.21732695400714874,0.7756218314170837,0.10769230872392654
8.0,2,0.5112245082855225,7.869881301303394e-06,1923840.0,529.0,0.5248016119003296,209,0.18916438519954681,0.6467239260673523,0.17812499403953552
8.0,2,0.7137404680252075,7.759711479593534e-06,1436160.0,381.0,0.793749988079071,214,0.0732831358909607,0.8569971323013306,0.05882352963089943
8.0,2,0.691644549369812,7.64763626648346e-06,2002560.0,548.0,0.6715686321258545,219,0.1970990002155304,0.6975510716438293,0.15805470943450928
8.0,2,0.45556873083114624,7.533740244980436e-06,1476480.0,493.0,0.6847222447395325,224,0.1549387127161026,0.7993583083152771,0.10576923191547394
8.0,2,0.5961002707481384,7.418109817081131e-06,1643520.0,463.0,0.6576704382896423,229,0.20805329084396362,0.6292663216590881,0.17985612154006958
8.0,2,0.7439365386962891,7.300833203771617e-06,1531200.0,539.0,0.6805555820465088,234,0.123825803399086,0.7564915418624878,0.12363636493682861
8.0,2,0.7745816111564636,7.181999080785317e-06,1421760.0,417.0,0.6858552694320679,239,0.19973908364772797,0.7264854907989502,0.1386861354112625
8.0,2,0.5897790193557739,7.061697942845058e-06,1639680.0,438.0,0.7604166865348816,244,0.13393764197826385,0.7534460425376892,0.12260536104440689
8.0,2,0.7630293369293213,6.940020739421016e-06,1799040.0,551.0,0.7327127456665039,249,0.12184474617242813,0.8083546161651611,0.10869564861059189
8.0,2,0.7068965435028076,6.817060238972772e-06,1731840.0,497.0,0.7223837375640869,254,0.18881948292255402,0.7313873767852783,0.13636364042758942
8.0,2,0.6012930870056152,6.692910119454609e-06,1607040.0,446.0,0.6716867685317993,259,0.13511298596858978,0.7183953523635864,0.13286712765693665
8.0,2,0.6694785356521606,6.567663604073459e-06,1676160.0,473.0,0.6875,264,0.09356443583965302,0.7582574486732483,0.11073825508356094
8.0,2,0.7549460530281067,6.44141709926771e-06,1611840.0,479.0,0.6302631497383118,269,0.20546695590019226,0.7014090418815613,0.13898305594921112
8.0,2,0.674861490726471,6.314265647233697e-06,1871040.0,526.0,0.7557471394538879,274,0.22221805155277252,0.6440041661262512,0.19104477763175964
8.0,2,0.6942090392112732,6.186305654409807e-06,1887360.0,538.0,0.525390625,279,0.2485562264919281,0.6457615494728088,0.19692307710647583
8.0,2,0.7741815447807312,6.057635346223833e-06,1997760.0,597.0,0.8480113744735718,284,0.16917969286441803,0.7257388830184937,0.18208955228328705
8.0,2,0.6442028880119324,5.928351129114162e-06,1706880.0,437.0,0.6661585569381714,289,0.19661378860473633,0.7417261004447937,0.11787072569131851
8.0,2,0.6041666865348816,5.798552138003288e-06,1948800.0,496.0,0.5904762148857117,294,0.14361634850502014,0.8294593691825867,0.072727270424366
2.0,2,0.8246527910232544,5.668336143571651e-06,456000.0,111.0,0.9736841917037964,299,0.29935362935066223,0.6516743898391724,0.1388888955116272
8.0,3,0.4899553656578064,5.537802735489095e-06,1685760.0,525.0,0.5208333134651184,304,0.17633776366710663,0.665523886680603,0.16828478872776031
8.0,3,0.6985034942626953,5.407051048678113e-06,1523520.0,462.0,0.7804054021835327,309,0.15692810714244843,0.7903966307640076,0.1168384850025177
8.0,3,0.8344594836235046,5.2761797633138485e-06,1422720.0,454.0,0.7566666603088379,314,0.18577206134796143,0.6460213661193848,0.20155039429664612
8.0,3,0.6868686676025391,5.145288923813496e-06,1566720.0,510.0,0.7244318127632141,319,0.176717609167099,0.7411432862281799,0.14423076808452606
8.0,3,0.8536821603775024,5.014477210352197e-06,1691520.0,517.0,0.6594387888908386,324,0.08173072338104248,0.8909118175506592,0.06321839243173599
8.0,3,0.5773104429244995,4.883844667347148e-06,1871040.0,544.0,0.7083333134651184,329,0.17386825382709503,0.7132682800292969,0.15282392501831055
8.0,3,0.5070960521697998,4.7534899749734905e-06,1783680.0,519.0,0.67578125,334,0.06649735569953918,0.7723845839500427,0.11824323982000351
8.0,3,0.6299296021461487,4.623512268153718e-06,1717440.0,482.0,0.6409574747085571,339,0.15566149353981018,0.7637277841567993,0.11285266280174255
8.0,3,0.6329419612884521,4.494010227062972e-06,1759680.0,492.0,0.8199999928474426,344,0.054900020360946655,0.9119694232940674,0.04181184619665146
8.0,3,0.6337792873382568,4.365082531876396e-06,1455360.0,453.0,0.6584302186965942,349,0.09740142524242401,0.8010415434837341,0.09056603908538818
8.0,3,0.7562695741653442,4.236826953274431e-06,1852800.0,574.0,0.6643518805503845,354,0.13869275152683258,0.8295055627822876,0.08445946127176285
8.0,3,0.5959051847457886,4.109340352442814e-06,1592640.0,432.0,0.650602400302887,359,0.14613030850887299,0.7910494208335876,0.10135135054588318
8.0,3,0.5591939687728882,3.982720045314636e-06,1704960.0,482.0,0.6342105269432068,364,0.15894828736782074,0.7872348427772522,0.0833333358168602
8.0,3,0.5752089023590088,3.857062438328285e-06,1585920.0,461.0,0.6548295617103577,369,0.08686915040016174,0.8195617198944092,0.09053497761487961
8.0,3,0.534166693687439,3.73246234630642e-06,1846080.0,564.0,0.7121211886405945,374,0.09491338580846786,0.7789551615715027,0.11705685406923294
8.0,3,0.7160056829452515,3.6090145840717014e-06,1941120.0,581.0,0.5673828125,379,0.13290880620479584,0.7228186726570129,0.15123456716537476
8.0,3,0.6132305264472961,3.486813056952087e-06,1450560.0,454.0,0.6448863744735718,384,0.13577508926391602,0.7576900124549866,0.15606936812400818
8.0,3,0.841911792755127,3.3659505334071582e-06,1538880.0,432.0,0.782608687877655,389,0.06095907837152481,0.8107264041900635,0.095238097012043
8.0,3,0.5698254108428955,3.246518645028118e-06,1754880.0,497.0,0.5916666388511658,394,0.07946750521659851,0.7618579268455505,0.12203390151262283
2.0,3,0.9819587469100952,3.1286081139114685e-06,365760.0,100.0,0.9259259104728699,399,0.034693650901317596,0.9138549566268921,0.0317460335791111
8.0,4,0.7490384578704834,3.0123087526590098e-06,1495680.0,398.0,0.7007042169570923,404,0.12244170904159546,0.7820546627044678,0.11071428656578064
8.0,4,0.6902492642402649,2.8977085548831383e-06,1807680.0,468.0,0.7222222089767456,409,0.05498515069484711,0.786085307598114,0.10000000149011612
8.0,4,0.7782257795333862,2.784894604701549e-06,1482240.0,437.0,0.8033088445663452,414,0.08039423823356628,0.7592265605926514,0.13780918717384338
8.0,4,0.6919398903846741,2.6739526219898835e-06,1944960.0,543.0,0.6403301954269409,419,0.2998259663581848,0.6904313564300537,0.16720257699489594
8.0,4,0.775678277015686,2.5649667350080563e-06,1536960.0,496.0,0.6326530575752258,424,0.13443529605865479,0.7925301194190979,0.10452961921691895
8.0,4,0.484183669090271,2.4580201625212794e-06,1822080.0,515.0,0.5109127163887024,429,0.18046174943447113,0.7103977203369141,0.13793103396892548
8.0,4,0.7131530046463013,2.35319339481066e-06,1467840.0,453.0,0.5719696879386902,434,0.12771636247634888,0.7993181347846985,0.06976744532585144
8.0,4,0.546229362487793,2.250566694783629e-06,2030400.0,523.0,0.6603535413742065,439,0.15138712525367737,0.7676576375961304,0.1041666641831398
8.0,4,0.6481353640556335,2.150217596863513e-06,1801920.0,476.0,0.7168674468994141,444,0.11534924060106277,0.8346178531646729,0.08474576473236084
8.0,4,0.764072835445404,2.0522224986052606e-06,1772160.0,512.0,0.5925925970077515,449,0.06578510254621506,0.8809804916381836,0.06390977650880814
8.0,4,0.6751567125320435,1.956655751200742e-06,1654080.0,478.0,0.694767415523529,454,0.08101269602775574,0.8842944502830505,0.05818181857466698
8.0,4,0.6253591775894165,1.8635898868524237e-06,1671360.0,463.0,0.6972891688346863,459,0.11524567753076553,0.7586953639984131,0.10580204427242279
8.0,4,0.7607142925262451,1.7730956187733682e-06,1635840.0,497.0,0.776562511920929,464,0.1476530283689499,0.8650392889976501,0.05864197388291359
8.0,4,0.6535714268684387,1.6852416138135595e-06,1581120.0,457.0,0.7516447305679321,469,0.12905192375183105,0.7497615218162537,0.1145833358168602
8.0,4,0.6695803999900818,1.600094719833578e-06,1470720.0,458.0,0.6580459475517273,474,0.08852284401655197,0.4271436035633087,0.1190476194024086
8.0,4,0.6724504232406616,1.5177195109572494e-06,1823040.0,524.0,0.51171875,479,0.14508982002735138,0.8058621883392334,0.09589041024446487
8.0,4,0.8338122367858887,1.4381785149453208e-06,1671360.0,544.0,0.7727272510528564,484,0.10777319967746735,0.7860068082809448,0.15340909361839294
